FAMILIES,AB,AN,AW,EB,HS,JY,LP,SH,ST,WE
Nymphalidae,22,17,18,66,20,41,36,23,7,20
FORMICIDAE,188,134,120,53,560,191,29,81,118,63
Aphididae,989,638,10924,969,16793,136297,17991,2855,14675,4928
Lygaeidae,254,9,51,1,13,112,31,5,8,80
Miridae,0,7,6,0,2,13,3,0,1,0
CICADELLIDAE,13,16,25,30,8,33,13,29,13,5
MEMBRACIDAE,1,0,2,0,0,0,0,0,0,0
CERCOPOIDEA,1,0,1,0,0,0,0,0,0,0
FULGOROMORPHA,0,0,1,0,0,0,0,1,0,0
Anthocoridae,14,1,2,7,2,22,7,1,3,7
REDUVIIDAE,0,1,0,1,8,0,3,0,1,1
COREIDAE,1,0,0,0,0,0,0,0,0,0
THYREOCORIDAE,3,0,0,1,3,2,2,0,0,0
ALYDIDAE,0,0,0,1,0,0,0,0,0,0
NABIDAE,0,1,0,0,1,0,0,0,0,0
Coccinellidae,5,12,8,5,27,78,5,8,17,4
Cerambycidae,11,34,11,2,30,23,5,5,12,0
CANTHARIDAE,0,5,0,0,2,5,6,0,0,0
LAMPYRIDAE,2,4,4,2,10,2,5,3,5,0
Chrysomelidae,0,0,0,1,5,0,1,0,33,0
Scarabaeidae,5,0,2,0,1,2,0,0,1,0
CURCULIONOIDEA,0,1,0,1,3,3,0,1,1,1
MORDELLIDAE,0,0,0,0,2,2,0,0,0,0
Cucurbitaceae,0,1,0,0,0,1,0,0,0,0
SM_PARA,30,40,23,11,8,27,11,12,28,7
LG_PARA,1,1,4,0,0,2,2,0,0,0
VESPIDAE,2,0,0,1,1,7,6,0,1,2
Apidae,8,4,2,0,2,13,3,2,3,0
Megachilidae,0,0,0,0,0,3,0,0,0,0
ANDRENIDAE ,2,0,1,0,1,6,13,0,0,1
HALICTIDAE,0,0,0,1,0,0,0,0,0,0
CRABRONIDAE,0,0,0,0,0,0,0,0,0,4
DOLICHOPODIDAE,10,4,32,1,5,6,3,4,5,8
Syrphidae,4,9,4,3,0,7,1,2,4,1
CALLIPHORIDAE,0,0,0,0,0,0,0,0,0,1
ACRIDIDAE,0,2,0,0,0,0,0,0,0,0
GRYLLIDAE,1,3,5,1,2,6,1,0,3,2
TETTIGONIIDAE,0,0,1,0,1,0,0,0,0,0
CHRYSOPIDAE,2,3,7,0,2,17,0,4,5,7
PTEROPHORIDAE,0,1,0,0,0,0,0,0,0,0
Erebidae,2,3,206,3,2,0,8,149,1,0
TORTRICIDAE,0,3,0,0,3,0,0,1,0,0
Sesiidae,0,0,0,0,0,0,0,0,1,0
Geometridae,0,1,0,1,1,2,1,1,5,0
DERMAPTERA,3,9,11,6,4,0,0,0,14,11
THYSANOPTERA,3,6,3,11,11,6,8,38,9,7
MANTIDAE,0,0,1,2,0,0,0,0,0,0
THOMISIDAE,7,5,3,1,9,7,10,6,7,0
SALTICIDAE,1,10,5,5,3,1,3,7,1,2
LINYPHIIDAE,5,25,19,11,23,15,7,11,16,4
ARANEIDAE,1,7,7,5,7,0,1,5,4,1
LYCOSIDAE,0,0,0,0,0,0,0,1,0,0
OXYOPIDAE,0,0,0,1,0,0,0,0,0,0
OPILIONES,2,1,1,4,2,2,0,4,1,1
TROMBIDIIDAE,3,4,0,2,5,1,2,2,1,2
TETRANYCHIDAE,0,0,0,1,0,1,5,1,0,4
Tetranychidae,139,98,32,10,0,31,75,24,174,5
