SITE,WEEK,FLOW_PLANT_CAT,SPECIES,STEMS,EGG_TOT,LARV_TOT,HERB_TOT,PRED_TOT,ANT_TOT,MYZO_TOT,NERII_TOT,APH_ASC_TOT,APHID_TOT
1,5,2,1,5,0,0,3,1,0,0,0,0,0
1,5,2,2,5,4,0,6,1,0,39,0,0,39
1,5,2,3,5,0,1,0,1,0,0,0,0,0
2,5,3,1,5,1,0,0,4,4,0,0,0,0
2,5,3,2,5,0,0,11,8,18,52,0,0,52
2,5,3,3,5,0,0,1,0,0,0,0,0,0
3,5,1,1,5,4,1,1,4,1,0,0,0,0
3,5,1,2,5,9,1,5,12,8,38,0,0,38
3,5,1,3,5,0,0,1,0,0,0,0,0,0
4,5,1,1,2,1,0,0,1,0,0,0,0,0
4,5,1,2,5,1,0,5,3,0,18,7,0,25
4,5,1,3,5,0,0,5,2,2,0,0,0,0
5,5,1,1,1,0,0,0,0,0,0,0,0,0
5,5,1,2,5,3,0,14,6,2,52,0,3,55
5,5,1,3,5,0,2,0,4,3,0,0,0,0
6,5,3,1,5,1,0,18,9,1,24,0,0,24
6,5,3,2,5,1,0,2,23,15,5595,0,0,5595
6,5,3,3,5,0,0,0,1,0,0,0,0,0
7,5,1,1,5,13,0,12,1,0,0,0,0,0
7,5,1,2,5,7,8,4,0,0,23,0,0,23
7,5,1,3,1,1,0,1,2,0,0,0,0,0
8,5,1,1,5,4,1,0,3,0,0,0,1,1
8,5,1,2,5,3,3,1,25,0,28,0,0,28
8,5,1,3,5,0,0,1,1,0,0,0,0,0
9,5,2,1,5,0,0,19,4,0,0,0,0,0
9,5,2,2,5,0,0,6,5,2,20,0,0,20
9,5,2,3,5,0,0,0,0,0,0,0,0,0
10,5,1,1,5,7,2,3,6,0,362,0,0,362
10,5,1,2,5,0,0,4,0,0,0,0,0,0
1,6,2,1,5,4,0,52,5,0,0,0,0,0
1,6,2,2,5,0,0,1,2,0,14,0,0,14
1,6,2,3,5,1,0,18,0,0,0,0,0,0
2,6,3,1,5,0,1,10,0,0,0,0,0,0
2,6,3,2,5,0,0,5,4,12,83,0,0,83
2,6,3,3,5,0,0,1,0,0,0,0,0,0
3,6,1,1,5,16,2,2,6,0,0,0,0,0
3,6,1,2,5,6,0,5,7,0,0,0,0,0
3,6,1,3,5,0,0,0,0,0,0,0,0,0
4,6,1,1,2,15,1,4,1,1,0,2,0,2
4,6,1,2,5,17,0,1,4,1,50,8,0,58
4,6,1,3,5,1,0,1,2,0,0,15,0,15
5,6,1,1,1,0,0,1,0,0,0,0,0,0
5,6,1,2,5,4,0,13,6,2,922,0,0,922
5,6,1,3,5,1,0,0,1,0,0,0,0,0
6,6,3,1,5,3,1,8,2,0,0,0,0,0
6,6,3,2,5,3,2,3,6,3,6490,0,0,6490
6,6,3,3,5,0,0,0,0,0,0,0,0,0
7,6,1,1,5,7,0,9,3,0,0,0,0,0
7,6,1,2,5,7,1,0,0,0,88,0,13,101
7,6,1,3,1,1,1,0,0,0,0,0,0,0
8,6,1,1,5,14,1,4,5,0,0,0,0,0
8,6,1,2,5,6,1,1,17,0,95,0,0,95
8,6,1,3,5,0,0,0,0,0,0,0,0,0
9,6,2,1,5,2,0,19,1,0,0,0,0,0
9,6,2,2,5,5,1,3,7,1,129,0,0,129
9,6,2,3,5,0,0,0,0,0,0,0,0,0
10,6,1,1,5,7,3,5,4,0,981,0,0,981
10,6,1,2,5,0,0,1,0,0,6,0,0,6
1,7,2,1,5,3,0,44,3,0,0,0,0,0
1,7,2,2,5,9,0,1,1,0,52,0,0,52
1,7,2,3,5,2,0,0,0,0,0,0,0,0
2,7,3,1,5,2,0,38,0,0,0,0,0,0
2,7,3,2,5,2,0,2,12,12,94,0,0,94
2,7,3,3,5,0,0,0,0,0,0,0,0,0
3,7,1,1,5,16,0,1,8,8,0,1,0,1
3,7,1,2,5,4,0,4,3,2,7,8,0,15
3,7,1,3,5,0,0,1,0,0,0,1,0,1
4,7,1,1,4,24,2,3,9,2,0,42,0,42
4,7,1,2,5,11,4,3,1,0,56,13,0,69
4,7,1,3,5,4,4,8,2,0,0,0,0,0
5,7,1,1,1,0,0,0,0,0,0,0,0,0
5,7,1,2,5,5,3,5,4,0,184,0,0,184
5,7,1,3,5,0,1,1,3,0,0,0,0,0
6,7,3,1,5,23,7,27,7,1,53,766,0,819
6,7,3,2,5,10,2,6,4,2,8949,14,0,8963
6,7,3,3,5,0,0,1,4,0,0,0,0,0
7,7,1,1,5,24,1,15,8,0,0,0,0,0
7,7,1,2,5,8,1,7,1,0,53,0,17,70
7,7,1,3,1,1,0,0,1,0,0,0,0,0
8,7,1,1,5,10,2,157,8,0,2,0,0,2
8,7,1,2,5,6,0,2,11,1,161,7,0,168
8,7,1,3,5,0,0,3,0,0,0,0,0,0
9,7,2,1,5,7,0,3,1,0,0,9,0,9
9,7,2,2,5,6,1,1,3,0,44,0,28,72
9,7,2,3,5,0,0,0,0,0,0,0,0,0
10,7,1,1,5,6,5,0,0,0,374,0,0,374
10,7,1,2,5,0,1,9,0,0,0,0,0,0
1,8,2,1,5,9,2,2,0,0,0,3,0,3
1,8,2,2,5,0,0,0,0,0,15,0,0,15
1,8,2,3,5,3,1,69,0,0,0,0,0,0
2,8,3,1,5,0,2,44,0,0,0,0,0,0
2,8,3,2,5,3,1,1,0,2,12,0,0,12
2,8,3,3,5,0,0,0,0,0,0,0,0,0
3,8,1,1,5,8,0,1,2,0,0,23,0,23
3,8,1,2,5,0,2,2,1,2,3,14,0,17
3,8,1,3,5,1,0,0,0,0,0,21,0,21
4,8,1,1,5,6,2,0,0,0,15,53,1,69
4,8,1,2,5,13,2,2,0,0,0,38,0,38
4,8,1,3,5,4,3,0,0,1,0,0,0,0
5,8,1,1,1,0,0,1,0,0,0,0,0,0
5,8,1,2,5,4,3,9,157,145,2944,47,142,3133
5,8,1,3,5,1,0,0,1,0,0,1,0,1
6,8,3,1,5,2,3,4,4,0,0,58,0,58
6,8,3,2,5,17,8,6,2,3,9581,184,0,9765
6,8,3,3,5,0,0,1,2,0,0,3,0,3
7,8,1,1,5,11,0,2,1,0,0,0,0,0
7,8,1,2,5,8,9,1,1,0,210,2,0,212
7,8,1,3,1,0,0,0,0,0,0,0,0,0
8,8,1,1,5,12,1,2,2,0,0,0,0,0
8,8,1,2,5,9,3,1,16,2,197,490,0,687
8,8,1,3,5,0,0,2,1,0,0,0,0,0
9,8,2,1,5,0,1,143,1,0,0,12,0,12
9,8,2,2,5,1,1,2,2,0,80,0,0,80
9,8,2,3,5,0,0,1,1,0,0,0,0,0
10,8,1,1,5,2,3,3,1,0,193,0,0,193
10,8,1,2,5,1,1,1,0,0,0,0,0,0
1,9,2,1,5,5,1,0,0,0,0,0,0,0
1,9,2,2,5,0,2,22,0,0,9,0,0,9
1,9,2,3,5,1,2,1,0,0,2,0,0,2
2,9,3,1,5,3,1,2,0,0,0,0,0,0
2,9,3,2,5,1,1,1,1,0,7,0,0,7
2,9,3,3,5,0,0,0,1,0,0,0,0,0
3,9,1,1,5,2,0,3,11,9,0,2260,0,2260
3,9,1,2,5,1,1,23,4,0,25,4,0,29
3,9,1,3,5,0,0,1,0,0,0,109,0,109
4,9,1,1,3,13,4,0,1,3,0,8,0,8
4,9,1,2,5,14,4,0,1,0,23,16,0,39
4,9,1,3,5,2,2,1,0,6,0,8,0,8
5,9,1,1,1,0,0,0,0,0,0,0,0,0
5,9,1,2,5,5,4,1,8,2,6238,830,77,7145
5,9,1,3,5,3,2,0,0,0,0,725,0,725
6,9,3,1,5,7,2,35,2,0,0,8297,0,8297
6,9,3,2,5,3,3,4,13,12,8482,114,0,8596
6,9,3,3,5,0,0,0,0,0,0,0,0,0
7,9,1,1,5,13,0,2,4,0,0,0,0,0
7,9,1,2,5,5,4,2,0,0,135,0,0,135
7,9,1,3,1,0,0,0,0,0,0,0,0,0
8,9,1,1,5,8,4,6,6,0,0,1,0,1
8,9,1,2,5,1,1,1,1,0,156,22,110,288
8,9,1,3,5,2,0,0,0,0,6,0,0,6
9,9,2,1,5,1,2,5,5,0,12,2880,0,2892
9,9,2,2,5,3,0,1,20,16,155,0,0,155
9,9,2,3,5,0,0,0,0,0,2,0,0,2
10,9,1,1,5,2,4,1,0,0,924,15,0,939
10,9,1,2,5,0,0,1,1,0,0,0,0,0
1,10,2,1,5,4,8,1,1,0,0,20,0,20
1,10,2,2,5,1,3,21,0,0,25,0,0,25
1,10,2,3,5,0,0,4,1,0,0,0,0,0
2,10,3,1,5,0,0,2,1,0,0,0,0,0
2,10,3,2,5,1,2,1,6,0,20,0,0,20
2,10,3,3,5,0,2,0,2,0,0,0,0,0
3,10,1,1,5,0,2,0,12,6,0,2600,0,2600
3,10,1,2,5,6,0,17,1,1,38,81,0,119
3,10,1,3,5,0,2,2,4,0,0,810,0,810
4,10,1,1,3,4,8,2,0,0,0,10,0,10
4,10,1,2,5,1,5,0,2,0,69,6,1,76
4,10,1,3,5,0,2,0,2,1,58,0,0,58
5,10,1,1,1,2,0,0,0,0,0,0,0,0
5,10,1,2,5,2,0,1,6,0,118,0,80,198
5,10,1,3,5,2,1,2,1,0,0,198,0,198
6,10,3,1,5,6,3,35,6,0,3,12730,0,12733
6,10,3,2,5,0,2,4,8,2,1959,10600,0,12559
6,10,3,3,5,0,0,0,1,0,0,24,0,24
7,10,1,1,5,16,2,1,2,0,0,1,0,1
7,10,1,2,5,3,0,1,0,0,491,123,0,614
7,10,1,3,1,0,0,0,0,0,0,0,0,0
9,10,2,1,5,1,0,1,1,0,0,380,0,380
9,10,2,2,5,0,0,0,5,1,77,22,0,99
9,10,2,3,5,0,0,0,1,0,0,0,0,0
10,10,1,1,5,3,1,44,1,0,37,0,0,37
10,10,1,2,5,0,0,0,0,0,0,0,0,0
