SITE,WEEK,FLOW_PLANT_CAT,SPECIES,STEMS,EGG_TOT,LARV_TOT,HERB_TOT,PRED_TOT,ANT_TOT,MYZO_TOT,NERII_TOT,APH_ASC_TOT,APHID_TOT,EGG_RATE,LARV_RATE,HERB_RATE,PRED_RATE,ANT_RATE,MYZO_RATE,NERII_RATE,APH_ASC_RATE,APHID_RATE
1,5,2,1,5,0,0,3,1,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0,0
1,5,2,2,5,4,0,6,1,0,39,0,0,39,0.8,0,1.2,0.2,0,7.8,0,0,7.8
1,5,2,3,5,0,1,0,1,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0
2,5,3,1,5,1,0,0,4,4,0,0,0,0,0.2,0,0,0.8,0.8,0,0,0,0
2,5,3,2,5,0,0,11,8,18,52,0,0,52,0,0,2.2,1.6,3.6,10.4,0,0,10.4
2,5,3,3,5,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
3,5,1,1,5,4,1,1,4,1,0,0,0,0,0.8,0.2,0.2,0.8,0.2,0,0,0,0
3,5,1,2,5,9,1,5,12,8,38,0,0,38,1.8,0.2,1,2.4,1.6,7.6,0,0,7.6
3,5,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
6,5,3,1,5,1,0,18,9,1,24,0,0,24,0.2,0,3.6,1.8,0.2,4.8,0,0,4.8
6,5,3,2,5,1,0,2,23,15,5595,0,0,5595,0.2,0,0.4,4.6,3,1119,0,0,1119
6,5,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
8,5,1,1,5,4,1,0,3,0,0,0,1,1,0.8,0.2,0,0.6,0,0,0,0.2,0.2
8,5,1,2,5,3,3,1,25,0,28,0,0,28,0.6,0.6,0.2,5,0,5.6,0,0,5.6
8,5,1,3,5,0,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0
9,5,2,1,5,0,0,19,4,0,0,0,0,0,0,0,3.8,0.8,0,0,0,0,0
9,5,2,2,5,0,0,6,5,2,20,0,0,20,0,0,1.2,1,0.4,4,0,0,4
9,5,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,1,5,4,0,52,5,0,0,0,0,0,0.8,0,10.4,1,0,0,0,0,0
1,6,2,2,5,0,0,1,2,0,14,0,0,14,0,0,0.2,0.4,0,2.8,0,0,2.8
1,6,2,3,5,1,0,18,0,0,0,0,0,0,0.2,0,3.6,0,0,0,0,0,0
2,6,3,1,5,0,1,10,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0
2,6,3,2,5,0,0,5,4,12,83,0,0,83,0,0,1,0.8,2.4,16.6,0,0,16.6
2,6,3,3,5,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
3,6,1,1,5,16,2,2,6,0,0,0,0,0,3.2,0.4,0.4,1.2,0,0,0,0,0
3,6,1,2,5,6,0,5,7,0,0,0,0,0,1.2,0,1,1.4,0,0,0,0,0
3,6,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,3,1,5,3,1,8,2,0,0,0,0,0,0.6,0.2,1.6,0.4,0,0,0,0,0
6,6,3,2,5,3,2,3,6,3,6490,0,0,6490,0.6,0.4,0.6,1.2,0.6,1298,0,0,1298
6,6,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,1,1,5,14,1,4,5,0,0,0,0,0,2.8,0.2,0.8,1,0,0,0,0,0
8,6,1,2,5,6,1,1,17,0,95,0,0,95,1.2,0.2,0.2,3.4,0,19,0,0,19
8,6,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,2,1,5,2,0,19,1,0,0,0,0,0,0.4,0,3.8,0.2,0,0,0,0,0
9,6,2,2,5,5,1,3,7,1,129,0,0,129,1,0.2,0.6,1.4,0.2,25.8,0,0,25.8
9,6,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2,1,5,3,0,44,3,0,0,0,0,0,0.6,0,8.8,0.6,0,0,0,0,0
1,7,2,2,5,9,0,1,1,0,52,0,0,52,1.8,0,0.2,0.2,0,10.4,0,0,10.4
1,7,2,3,5,2,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
2,7,3,1,5,2,0,38,0,0,0,0,0,0,0.4,0,7.6,0,0,0,0,0,0
2,7,3,2,5,2,0,2,12,12,94,0,0,94,0.4,0,0.4,2.4,2.4,18.8,0,0,18.8
2,7,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1,1,5,16,0,1,8,8,0,1,0,1,3.2,0,0.2,1.6,1.6,0,0.2,0,0.2
3,7,1,2,5,4,0,4,3,2,7,8,0,15,0.8,0,0.8,0.6,0.4,1.4,1.6,0,3
3,7,1,3,5,0,0,1,0,0,0,1,0,1,0,0,0.2,0,0,0,0.2,0,0.2
6,7,3,1,5,23,7,27,7,1,53,766,0,819,4.6,1.4,5.4,1.4,0.2,10.6,153.2,0,163.8
6,7,3,2,5,10,2,6,4,2,8949,14,0,8963,2,0.4,1.2,0.8,0.4,1789.8,2.8,0,1792.6
6,7,3,3,5,0,0,1,4,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0
8,7,1,1,5,10,2,157,8,0,2,0,0,2,2,0.4,31.4,1.6,0,0.4,0,0,0.4
8,7,1,2,5,6,0,2,11,1,161,7,0,168,1.2,0,0.4,2.2,0.2,32.2,1.4,0,33.6
8,7,1,3,5,0,0,3,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
9,7,2,1,5,7,0,3,1,0,0,9,0,9,1.4,0,0.6,0.2,0,0,1.8,0,1.8
9,7,2,2,5,6,1,1,3,0,44,0,28,72,1.2,0.2,0.2,0.6,0,8.8,0,5.6,14.4
9,7,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,1,1,5,6,5,0,0,0,374,0,0,374,1.2,1,0,0,0,74.8,0,0,74.8
10,7,1,2,5,0,1,9,0,0,0,0,0,0,0,0.2,1.8,0,0,0,0,0,0
1,8,2,1,5,9,2,2,0,0,0,3,0,3,1.8,0.4,0.4,0,0,0,0.6,0,0.6
1,8,2,2,5,0,0,0,0,0,15,0,0,15,0,0,0,0,0,3,0,0,3
1,8,2,3,5,3,1,69,0,0,0,0,0,0,0.6,0.2,13.8,0,0,0,0,0,0
2,8,3,1,5,0,2,44,0,0,0,0,0,0,0,0.4,8.8,0,0,0,0,0,0
2,8,3,2,5,3,1,1,0,2,12,0,0,12,0.6,0.2,0.2,0,0.4,2.4,0,0,2.4
2,8,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,1,1,5,8,0,1,2,0,0,23,0,23,1.6,0,0.2,0.4,0,0,4.6,0,4.6
3,8,1,2,5,0,2,2,1,2,3,14,0,17,0,0.4,0.4,0.2,0.4,0.6,2.8,0,3.4
3,8,1,3,5,1,0,0,0,0,0,21,0,21,0.2,0,0,0,0,0,4.2,0,4.2
6,8,3,1,5,2,3,4,4,0,0,58,0,58,0.4,0.6,0.8,0.8,0,0,11.6,0,11.6
6,8,3,2,5,17,8,6,2,3,9581,184,0,9765,3.4,1.6,1.2,0.4,0.6,1916.2,36.8,0,1953
6,8,3,3,5,0,0,1,2,0,0,3,0,3,0,0,0.2,0.4,0,0,0.6,0,0.6
8,8,1,1,5,12,1,2,2,0,0,0,0,0,2.4,0.2,0.4,0.4,0,0,0,0,0
8,8,1,2,5,9,3,1,16,2,197,490,0,687,1.8,0.6,0.2,3.2,0.4,39.4,98,0,137.4
8,8,1,3,5,0,0,2,1,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0
9,8,2,1,5,0,1,143,1,0,0,12,0,12,0,0.2,28.6,0.2,0,0,2.4,0,2.4
9,8,2,2,5,1,1,2,2,0,80,0,0,80,0.2,0.2,0.4,0.4,0,16,0,0,16
9,8,2,3,5,0,0,1,1,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0
1,9,2,1,5,5,1,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0
1,9,2,2,5,0,2,22,0,0,9,0,0,9,0,0.4,4.4,0,0,1.8,0,0,1.8
1,9,2,3,5,1,2,1,0,0,2,0,0,2,0.2,0.4,0.2,0,0,0.4,0,0,0.4
2,9,3,1,5,3,1,2,0,0,0,0,0,0,0.6,0.2,0.4,0,0,0,0,0,0
2,9,3,2,5,1,1,1,1,0,7,0,0,7,0.2,0.2,0.2,0.2,0,1.4,0,0,1.4
2,9,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
3,9,1,1,5,2,0,3,11,9,0,2260,0,2260,0.4,0,0.6,2.2,1.8,0,452,0,452
3,9,1,2,5,1,1,23,4,0,25,4,0,29,0.2,0.2,4.6,0.8,0,5,0.8,0,5.8
3,9,1,3,5,0,0,1,0,0,0,109,0,109,0,0,0.2,0,0,0,21.8,0,21.8
6,9,3,1,5,7,2,35,2,0,0,8297,0,8297,1.4,0.4,7,0.4,0,0,1659.4,0,1659.4
6,9,3,2,5,3,3,4,13,12,8482,114,0,8596,0.6,0.6,0.8,2.6,2.4,1696.4,22.8,0,1719.2
6,9,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,1,1,5,8,4,6,6,0,0,1,0,1,1.6,0.8,1.2,1.2,0,0,0.2,0,0.2
8,9,1,2,5,1,1,1,1,0,156,22,110,288,0.2,0.2,0.2,0.2,0,31.2,4.4,22,57.6
8,9,1,3,5,2,0,0,0,0,6,0,0,6,0.4,0,0,0,0,1.2,0,0,1.2
9,9,2,1,5,1,2,5,5,0,12,2880,0,2892,0.2,0.4,1,1,0,2.4,576,0,578.4
9,9,2,2,5,3,0,1,20,16,155,0,0,155,0.6,0,0.2,4,3.2,31,0,0,31
9,9,2,3,5,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0.4,0,0,0.4
1,10,2,3,5,0,0,4,1,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0
2,10,3,1,5,0,0,2,1,0,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0
2,10,3,2,5,1,2,1,6,0,20,0,0,20,0.2,0.4,0.2,1.2,0,4,0,0,4
2,10,3,3,5,0,2,0,2,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0
3,10,1,1,5,0,2,0,12,6,0,2600,0,2600,0,0.4,0,2.4,1.2,0,520,0,520
3,10,1,2,5,6,0,17,1,1,38,81,0,119,1.2,0,3.4,0.2,0.2,7.6,16.2,0,23.8
3,10,1,3,5,0,2,2,4,0,0,810,0,810,0,0.4,0.4,0.8,0,0,162,0,162
6,10,3,1,5,6,3,35,6,0,3,12730,0,12733,1.2,0.6,7,1.2,0,0.6,2546,0,2546.6
6,10,3,2,5,0,2,4,8,2,1959,10600,0,12559,0,0.4,0.8,1.6,0.4,391.8,2120,0,2511.8
6,10,3,3,5,0,0,0,1,0,0,24,0,24,0,0,0,0.2,0,0,4.8,0,4.8
9,10,2,1,5,1,0,1,1,0,0,380,0,380,0.2,0,0.2,0.2,0,0,76,0,76
9,10,2,2,5,0,0,0,5,1,77,22,0,99,0,0,0,1,0.2,15.4,4.4,0,19.8
9,10,2,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
