LOCATION,AG.VS.SUB,FLOW.PLANTS,PERCENT.LAWN,EGG TOT,LARV TOT,TET_IMM,MON_MIN,TAP_SES,CRE_CER,SOL_MOL,CAM_PEN,LAS_NEO,FOR_SUB,FOR_PAL,UNK_ANT,LAS_TOT,FOR_TOT,CRE_TOT,ANT_TOT,MYZ_ASC,APH_ASC,APH_FAB,MYZ_PER,APH_NER,URO_SOL,UNK_APH,APH_TOT,LYG_KAL,ONC_FAS,MWB_NYM,LYG_LIN,ADE_LIN,PRED_MIRID,UNK_MIRID,CICADELLIDAE,MEMBRACIDAE,CERCOPOIDEA,FULGOROMORPHA,ORI_SP,ORI_INS,ORI_INS_NYM,REDUVIIDAE,REDUVIIDAE_NYM,ARI_CRI,ARI_CRI_NYM,PHY_PEN,SB_EGG,POD_MAC_NYM,PENTATOMIDAE_NYM,EUS_VAR,COREIDAE,THYREOCORIDAE,ALYDIDAE,NABIDAE,UNK_HEM_NYM,UNK_HEM_ADULT,HAR_AXY,PRO_QUA,COC_SEP,HIP_VAR,COL_MAC,HIP_PAR,SCYMNINI,LB_LARV,LB_EGG,TET_TET,NEO_ACU,CANTHARIDAE,UNK_BEETLE,LAMPYRIDAE,LAB_CLI,LAB_CLI_PUP,LAB_CLI_NYM,CHRYSOMELIDAE,POP_JAP,CURCULIONOIDEA,MORDELLIDAE,DIA_SP,SM_PARA,LG_PARA,VESPIDAE,VES_SP,EUMENINAE,DOL_SP,BOM_SP,API_MEL,XYL_SP,MEG_SP,ANDRENIDAE ,HALICTIDAE,CRABRONIDAE,DOLICHOPODIDAE,SYR_LARV,SYR_PUP,SYR_ADULT,CALLIPHORIDAE,UNK_FLY,UNK_FLY_LARV,ENTOMOPHTHORA,TETTIGONIIDAE,ACRIDIDAE,GRYLLIDAE,GRYLLIDAE,GRYLLIDAE,TRIGONIDIIDAE,ACRIDIDAE_SUM,GRYLLIDAE_SUM,TETTIGONNIDAE_SUM,CHRYSOPIDAE_LARVAE,CHRYSOPIDAE_EGG,CHRYSOPIDAE_GREEN,CHRYSOPIDAE_BROWN,CHRYSOPIDAE,PTEROPHORIDAE,LYC_PHO,EUC_EGL_EARLY,EUC_EGL_MID,EUC_EGL_LATE,SPI_VIR,CIS_FUL,TORTRICIDAE,MEL_CUC,GEOMETRIDAE,UNK_GEOMETRID_LARV,UNK_MOTH,UNK_CATERPILLAR,DERMAPTERA,THRIP_ORANGE,THRIP_PRED,THYSANOPTERA,SNAIL_SHELL,SLUG,MANTIDAE,THOMISIDAE,SALTICIDAE,LINYPHIIDAE,ARANEIDAE,LYCOSIDAE,OXYOPIDAE,UNK_SPIDER,SPIDER_EGG,SPIDER_TOT,OPILIONES,TROMBIDIIDAE,TETRANYCHIDAE,TET_URT,TETRANYCHIDAE_UNK,UNK_ORANGE_MITE,UNK_MITE,DIPLOPODA
AB,SUB,80,40,0.230769231,0.1,0,0,0.034615385,0,0.011538462,0,0.661538462,0.046153846,0,0,0.680769231,0.046153846,0,1.480769231,3.276923077,0.007692308,0,0.011538462,0.507692308,0,0.003846154,3.807692308,0.034615385,0.107692308,0.842307692,0,0,0,0.003846154,0.069230769,0.003846154,0.003846154,0,0,0.034615385,0.023076923,0,0,0,0,0,0.107692308,0,0,0,0.003846154,0.011538462,0,0,0,0.003846154,0,0.003846154,0,0.003846154,0.003846154,0,0,0.007692308,0,0.057692308,0,0,0.034615385,0.007692308,0,0,0,0,0.019230769,0,0,0,0.123076923,0.003846154,0,0,0,0.007692308,0,0.011538462,0.019230769,0,0.007692308,0,0,0.038461538,0.003846154,0,0.015384615,0,0.069230769,0,0,0,0,0,0.003846154,0,0,0,0.003846154,0,0.007692308,0.103846154,0,0,0,0,0.003846154,0.003846154,0,0,0,0,0.003846154,0,0,0,0,0.003846154,0.011538462,0.023076923,0,0,0,0,0,0.030769231,0.003846154,0.023076923,0.007692308,0,0,0,0.003846154,0.065384615,0.011538462,0.023076923,0,0.9,0,0,0,0
AN,AG,113,40,0.061538462,0.1,0.1,0.030769231,0,0,0,0,0,0.046153846,0.792307692,0.038461538,0,0.846153846,0,1.853846154,4.584615385,0.007692308,0,0.007692308,0.292307692,0,0.007692308,4.9,0.053846154,0,0,0.015384615,0.015384615,0.023076923,0.015384615,0.084615385,0,0,0,0,0,0,0.007692308,0,0,0,0,0.107692308,0,0,0.015384615,0,0,0,0.007692308,0.007692308,0,0.030769231,0.015384615,0.007692308,0.007692308,0,0.030769231,0,0,0,0.230769231,0,0.038461538,0.038461538,0.030769231,0,0,0,0,0,0.007692308,0,0.007692308,0.292307692,0.007692308,0,0,0,0,0.023076923,0.007692308,0,0,0,0,0,0.030769231,0.007692308,0,0.053846154,0,0.107692308,0,0,0,0.015384615,0,0.023076923,0,0,0.015384615,0.023076923,0,0.023076923,0.030769231,0,0,0,0.007692308,0,0,0,0.007692308,0,0.015384615,0.015384615,0,0,0.007692308,0.007692308,0,0.069230769,0.023076923,0,0,0,0,0,0.030769231,0.076923077,0.184615385,0.046153846,0,0,0,0.007692308,0.338461538,0,0.007692308,0,0.023076923,0,0,0,0
AW,SUB,40,60,0.415384615,0.092307692,0.061538462,0,0.066666667,0,0.035897436,0.005128205,0.041025641,0.205128205,0.128205128,0.169230769,0.287179487,0.348717949,0,1.348717949,2.497435897,0,0,0,53.52307692,0,0,56.02051282,0.035897436,0.035897436,0.18974359,0,0,0.030769231,0,0.128205128,0.01025641,0.005128205,0.005128205,0,0.005128205,0.005128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01025641,0.020512821,0.005128205,0,0,0,0,0,0.015384615,0.005128205,0.056410256,0,0,0.020512821,0.020512821,0,0,0,0,0.01025641,0,0,0,0.117948718,0.020512821,0,0,0,0,0,0.01025641,0,0,0.005128205,0,0,0.164102564,0.005128205,0,0.015384615,0,0.056410256,0.020512821,0,0.005128205,0,0.015384615,0.005128205,0.005128205,0.020512821,0,0.025641026,0.005128205,0.030769231,0.076923077,0,0.005128205,0.005128205,0,0,1.015384615,0.01025641,0.025641026,0,0.005128205,0,0,0,0,0.01025641,0.38974359,0.056410256,0.015384615,0,0,0,0,0.005128205,0.015384615,0.025641026,0.097435897,0.035897436,0,0,0.005128205,0.015384615,0.179487179,0.005128205,0,0,0.164102564,0,0.005128205,0.005128205,0
EB,SUB,30,60,0.842424242,0.4,0.012121212,0,0,0,0.012121212,0.024242424,0.078787879,0.048484848,0.133333333,0.012121212,0.090909091,0.193939394,0,0.606060606,3.236363636,0.193939394,0,0.078787879,2.363636364,0,0,5.872727273,0,0,0.006060606,0,0,0,0,0.181818182,0,0,0,0,0.03030303,0.012121212,0,0,0,0,0.006060606,0,0,0.006060606,0,0,0.006060606,0.006060606,0,0,0,0,0.018181818,0,0,0,0,0,0.012121212,0.006060606,0.012121212,0,0,0,0.012121212,0.006060606,0,0,0,0,0.006060606,0,0,0.066666667,0,0,0,0,0.006060606,0,0,0,0,0,0.006060606,0,0.006060606,0.006060606,0,0.012121212,0,0.042424242,0,0,0,0,0,0,0.006060606,0,0,0.006060606,0,0,0.018181818,0,0,0,0,0,0,0,0,0.018181818,0,0,0,0,0.006060606,0,0,0.036363636,0.048484848,0.018181818,0.018181818,0,0,0.012121212,0.006060606,0.03030303,0.066666667,0.03030303,0,0.006060606,0,0,0.139393939,0.024242424,0.012121212,0.006060606,0.060606061,0.006060606,0,0,0
HS,AG,35,75,0.272727273,0.13986014,0.405594406,0,0,2.223776224,0,0.076923077,0.825174825,0.125874126,0.020979021,0,1.013986014,0.167832168,2.237762238,7.097902098,97.46153846,2.986013986,0,0.006993007,16.96503497,0,0.013986014,117.4335664,0.06993007,0.006993007,0.013986014,0.006993007,0,0.006993007,0.020979021,0.055944056,0,0,0,0.006993007,0.006993007,0,0,0,0.006993007,0.048951049,0,0.048951049,0,0,0,0,0.020979021,0,0.006993007,0,0,0.125874126,0.020979021,0,0.006993007,0.006993007,0,0,0.027972028,0.013986014,0.20979021,0,0.013986014,0.020979021,0.06993007,0.006993007,0.013986014,0.013986014,0,0.006993007,0.020979021,0.013986014,0,0.055944056,0,0,0,0,0.006993007,0.006993007,0.006993007,0,0,0.006993007,0,0,0.034965035,0,0,0,0,0.06993007,0,0,0.006993007,0,0,0,0.013986014,0,0,0.013986014,0.006993007,0.013986014,0.202797203,0,0,0,0,0,0,0.006993007,0.006993007,0,0,0.020979021,0,0.006993007,0,0.034965035,0.006993007,0.027972028,0.062937063,0.013986014,0.013986014,0,0.020979021,0,0.062937063,0.020979021,0.160839161,0.048951049,0,0,0.006993007,0.013986014,0.300699301,0.013986014,0.034965035,0,0,0.006993007,0,0,0
JY,SUB,119,60,0.451282051,0.21025641,0.076923077,0.128205128,0.030769231,0,0,0.159793814,0.348717949,0.102564103,0.092307692,0,0.384615385,0.194871795,0,1.517948718,345.1128205,0.005128205,0.102564103,0.035897436,353.7025641,0,0,698.9589744,0.117948718,0.076923077,0.379487179,0,0,0.066666667,0.020512821,0.169230769,0,0,0,0,0.087179487,0.025641026,0,0,0,0,0,0.128205128,0.01025641,0.005128205,0,0,0.01025641,0,0,0,0,0.230769231,0,0.005128205,0,0,0,0.005128205,0.158974359,0.061538462,0.117948718,0,0.025641026,0.035897436,0.01025641,0,0,0,0,0.01025641,0.015384615,0.01025641,0.005128205,0.138461538,0.01025641,0.020512821,0.005128205,0,0.01025641,0.015384615,0.030769231,0.020512821,0.015384615,0.030769231,0,0,0.030769231,0.035897436,0,0,0,0.148717949,0.035897436,0.030769231,0,0,0.01025641,0.020512821,0,0.030769231,0,0.030769231,0,0.066666667,1.046153846,0.01025641,0.01025641,0.020512821,0,0,0,0,0,0,0,0,0,0,0.01025641,0.005128205,0,0,0.030769231,0,0,0,0,0,0.035897436,0.005128205,0.076923077,0,0,0,0,0.015384615,0.117948718,0.01025641,0.005128205,0.005128205,0.158974359,0,0,0,0
LP,SUB,20,50,1.090909091,0.251748252,0,0,0,0,0.034965035,0,0.048951049,0.013986014,0,0.055944056,0.062937063,0.013986014,0,0.230769231,29.90909091,0.321678322,0,0.013986014,95.55244755,0.006993007,0.006993007,125.8111888,0.076923077,0,0.13986014,0,0,0.020979021,0.006993007,0.090909091,0,0,0,0,0.020979021,0.027972028,0.006993007,0.006993007,0,0,0.006993007,0,0,0,0,0,0.013986014,0,0,0,0,0,0.013986014,0,0,0,0,0,0.020979021,0,0.034965035,0,0.041958042,0.034965035,0.034965035,0,0,0,0.006993007,0,0,0,0,0.076923077,0.013986014,0.006993007,0,0.006993007,0.027972028,0,0,0.020979021,0,0.090909091,0,0,0.020979021,0,0,0.006993007,0,0.048951049,0,0.020979021,0,0,0,0,0.006993007,0,0,0.006993007,0,0,0.146853147,0,0,0,0,0,0.055944056,0,0,0,0,0,0,0,0.006993007,0,0,0,0.041958042,0.013986014,0.013986014,0,0,0,0.06993007,0.020979021,0.048951049,0.006993007,0,0,0,0,0.146853147,0,0.013986014,0.034965035,0.524475524,0,0.020979021,0,0
SH,AG,20,80,0.622222222,0.127777778,0.011111111,0.005555556,0,0,0,0,0.316666667,0,0.016666667,0.027777778,0.433333333,0.016666667,0,0.827777778,4.933333333,0.638888889,0.066666667,0.122222222,10.09444444,0,0.005555556,15.86111111,0.022222222,0,0.005555556,0,0,0,0,0.161111111,0,0,0.005555556,0,0.005555556,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0.011111111,0.005555556,0,0,0.016666667,0,0,0.011111111,0,0.022222222,0.005555556,0,0.027777778,0.016666667,0,0,0,0,0,0.005555556,0,0,0.066666667,0,0,0,0,0,0.005555556,0.005555556,0,0,0,0,0,0.022222222,0.005555556,0,0.005555556,0,0.094444444,0,0.005555556,0,0,0,0,0,0,0,0,0,0.022222222,0.055555556,0,0,0,0,0,0.827777778,0,0,0,0,0.005555556,0,0,0.005555556,0,0.005555556,0,0.027777778,0.183333333,0.183333333,0.005555556,0,0,0.033333333,0.038888889,0.061111111,0.027777778,0.005555556,0,0.005555556,0,0.172222222,0.022222222,0.011111111,0.005555556,0.133333333,0,0.005555556,0,0
ST,SUB,80,15,0.151041667,0.036458333,0,0.015625,0,0.265625,0.057291667,0,0.223958333,0.015625,0.015625,0.098958333,0.536458333,0.046875,0.265625,1.541666667,30.21875,0.1875,0.03125,0.015625,45.97916667,0,0,76.43229167,0.026041667,0.005208333,0.010416667,0.005208333,0,0,0.026041667,0.067708333,0,0,0,0.005208333,0.005208333,0.005208333,0,0,0,0,0.005208333,0,0,0.005208333,0,0,0,0,0,0,0,0.041666667,0.010416667,0,0,0,0,0,0.036458333,0.005208333,0.0625,0,0,0.041666667,0.026041667,0.005208333,0,0.166666667,0,0.005208333,0.005208333,0,0,0.145833333,0,0,0.005208333,0,0,0.015625,0,0,0,0,0,0,0.026041667,0.020833333,0.005208333,0,0,0.0625,0.005208333,0,0,0,0,0.015625,0,0,0,0.015625,0,0.026041667,0.4375,0,0,0,0,0,0.005208333,0,0,0,0,0,0.005208333,0,0.026041667,0,0,0.072916667,0.03125,0.015625,0.015625,0,0,0,0.036458333,0.005208333,0.083333333,0.020833333,0,0,0,0,0.145833333,0.005208333,0.005208333,0,0.90625,0,0.078125,0,0
WE,SUB,15,70,0.266666667,0.166666667,0,0,0,0,0.216666667,0,0.141666667,0,0,0,0.166666667,0,0,0.525,40.45,0.341666667,0,0.008333333,0.325,0,0,41.125,0.066666667,0.241666667,0.358333333,0,0,0,0,0.041666667,0,0,0,0,0.016666667,0.041666667,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008333333,0.008333333,0,0,0,0,0,0.016666667,0,0,0,0,0.016666667,0,0,0,0,0,0,0.008333333,0,0,0.058333333,0,0,0,0,0.016666667,0,0,0,0,0.008333333,0,0.033333333,0.066666667,0.008333333,0,0,0.008333333,0.066666667,0.016666667,0,0,0,0,0.016666667,0,0.008333333,0,0.016666667,0,0.058333333,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091666667,0.058333333,0,0,0,0,0,0,0.016666667,0.033333333,0.008333333,0,0,0,0,0.058333333,0.008333333,0.016666667,0.033333333,0.041666667,0.008333333,0.1,0.016666667,0.008333333
